,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,description
0,Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,"Nutritional Values of Boondi
Disclaimer: The nutritional values of boondi can vary significantly depending on the type (sweet or savory), the specific recipe, and the brand. The following information is a general estimate.

General Nutritional Profile of Boondi
Boondi is typically high in calories and fat due to the deep-frying process.

 It's a good source of protein due to the gram flour (besan) it's made from.   

Key Nutrients:

Calories: High
Fat: High
Carbohydrates: Moderate
Protein: Moderate"
1,Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,"Nutritional Values of Gajar Ka Halwa
Gajar ka halwa is a delicious Indian dessert, but it's also quite high in calories and fat due to the use of ghee, milk, and sugar.

   

Typical Nutritional Breakdown (per serving):
Calories: Around 250-350 calories
Fat: High in saturated fat from ghee and milk   
Carbohydrates: High due to sugar content   
Protein: Moderate amount   
Fiber: Low
Nutritional Benefits:
While it's high in calories and fat, gajar ka halwa does offer some nutritional benefits:

Vitamin A: Carrots are rich in beta-carotene, which converts to vitamin A, essential for eye health.   
Fiber: Though low in comparison to other sources, carrots do contribute some fiber.
Enjoying in Moderation:
Given its high calorie and fat content, it's best to enjoy gajar ka halwa in moderation. You can also explore healthier alternatives by reducing the amount of ghee and sugar or using low-fat milk."
2,Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,"Ghewar: A Sweet Treat with a High Calorie Count
Ghewar is a delicious Rajasthani dessert, but it's also high in calories, fat, and sugar. It's primarily made from flour, ghee, and sugar syrup, which contribute to its rich taste but also to its high calorie content.

Nutritional Breakdown (Approximate Values)
While the exact nutritional values can vary based on the recipe and size of the ghewar, here's a general idea:

High in calories: Due to the generous amount of ghee and sugar.
High in fat: The ghee used in the preparation contributes to a high fat content.
High in sugar: The sugar syrup used to soak the ghewar makes it very sweet.
It's recommended to consume ghewar in moderation due to its high calorie count. If you have any dietary restrictions or concerns, it's best to check with a healthcare professional or registered dietitian."
3,Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,"Nutritional Values of Gulab Jamun
Gulab Jamun

 is a popular Indian dessert, but it's also high in calories, sugar, and fat. Here's a general breakdown of its nutritional content:   

Nutritional Breakdown:
High in calories: Primarily due to the deep-frying process and the sugar-based syrup.
High in sugar: The sugar syrup used to soak the gulab jamun is the main culprit for the high sugar content.
High in fat: The deep-frying process contributes to the fat content.
Low in protein: Contains minimal protein.   
Low in fiber: Offers little to no dietary fiber.   
Nutritional Values (Approximate):
Calories: Around 150-200 calories per piece
Total Fat: 5-7 grams   
Saturated Fat: 1-2 grams   
Carbohydrates: 20-25 grams
Sugars: 15-20 grams
Protein: 1-2 grams   
Please note: These values are estimates and can vary depending on the specific recipe and size of the gulab jamun.

Due to its high calorie and sugar content, it's recommended to consume gulab jamun in moderation."
4,Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,"Nutritional Values of Imarti
Imarti, a delectable Indian sweet, is rich in flavor but also in calories and fat due to its deep-frying and sugar syrup coating.

Approximate Nutritional Values (per serving):
Calories: Around 113-145 calories
Carbohydrates: Approximately 15-33 grams
Protein: About 1-3 grams

Fat: Roughly 5-11 grams   
Fiber: Approximately 0.5-3 grams
Please note: These values are estimates and can vary based on the specific recipe, ingredients, and serving size.

Key factors affecting the nutritional content:

Oil used for frying: The type and amount of oil can significantly impact the calorie and fat content.
Sugar syrup: The amount of sugar used in the syrup directly affects the calorie and carbohydrate content.
Serving size: The number of imartis consumed will determine the overall nutritional intake.
Imarti should be enjoyed in moderation due to its high calorie and sugar content."
5,Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,"Nutritional Values of Jalebi
Jalebi

 is a popular Indian sweet made from deep-fried maida flour soaked in sugar syrup. Due to its high sugar and fat content, it's considered a treat rather than a staple food.   

Nutritional Breakdown (Approximate Values)
Calories: Around 150 calories per piece   
Total Fat: 3.5g   
Carbohydrates: 29g   
Protein: 1.3g   
Sugar: High
Important to Note:
High in calories and sugar: Jalebi is a rich source of empty calories and added sugars.
Low in nutrients: It offers minimal nutritional value beyond calories.
Deep-fried: The deep-frying process adds to the fat content.
Enjoy jalebi in moderation as part of a balanced diet."
6,Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,"Nutritional Values of Kalakand
Kalakand is a rich Indian sweet made primarily from milk solids, sugar, and cardamom.

 Its nutritional value can vary slightly depending on the specific recipe and ingredients used.   

Generally, kalakand is high in calories and carbohydrates due to its sugar content. It also contains a good amount of protein and calcium from the milk solids.   

Typical Nutritional Breakdown (per serving):
Calories: Around 150-200 calories
Carbohydrates: High
Protein: Moderate
Fat: Moderate
Calcium: Good source   
Sugar: High
Please note: These values are approximate and can vary depending on the serving size and specific recipe."
7,Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,"Nutritional Values of Lassi
The nutritional value of lassi can vary significantly depending on the ingredients and the quantity used.

General Nutritional Profile
Typically, lassi is made from yogurt, water, and sometimes flavorings like salt, sugar, or fruit.

 Here's a general breakdown of its nutritional content:   

Protein: Lassi is a good source of protein due to the yogurt content. Protein helps in building and repairing tissues.   
Calcium: Another benefit from the yogurt, calcium is essential for bone health.
Vitamins and Minerals: The specific vitamins and minerals will depend on the added ingredients. For example, a mango lassi will have vitamins A and C from the mango.
Carbohydrates: The main source of carbohydrates in lassi is the sugar added for sweetness.
Fat: The fat content depends on the type of yogurt used and any additional ingredients like cream or butter.
Calorie Count
The calorie count can vary widely. A sweet lassi will generally be higher in calories due to the added sugar. A salted or plain lassi will be lower in calories.   

For a more accurate nutritional breakdown, it's best to check the specific recipe or nutrition label if available."
8,Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,"Nutritional Values of Phirni
Phirni

 is a delicious Indian dessert made with rice, milk, and sugar. Its nutritional value can vary depending on the specific recipe and ingredients used.   

General Nutritional Profile:
High in calories: Due to the presence of milk, sugar, and often ghee or other fats.
Rich in carbohydrates: The main source of energy comes from rice and sugar.
Good source of protein: Milk contributes to the protein content.
Contains calcium: Milk provides calcium, essential for bone health."
9,Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,"Nutritional Value of Rabri
Rabri is a rich and creamy Indian dessert made primarily from milk, thickened and sweetened.

 Its nutritional value largely depends on the fat content of the milk used and the amount of sugar added.   

General Nutritional Profile:
High in calories: Due to its rich, creamy texture and high sugar content.
High in fat: The fat content varies based on the type of milk used (full-fat, low-fat, etc.).
High in carbohydrates: Primarily from the added sugar.
Source of protein: Milk is a good source of protein.   
Calcium: Milk provides calcium, essential for bone health.   
Approximate Nutritional Values (per serving):
Note: These values are estimates and can vary significantly based on the recipe and ingredients used.

Nutrient	Amount
Calories	Around 300-400
Fat	High
Carbohydrates	High
Protein	Moderate
Calcium	Good source

Export to Sheets
Health Considerations:
High in sugar: Excessive consumption can lead to weight gain and other health issues.
High in fat: High-fat dairy can contribute to heart disease risk.
Portion control: Enjoy rabri in moderation as part of a balanced diet.
For a healthier version:

Use low-fat milk.
Reduce the amount of sugar added.
Balance it with a nutritious meal."
